name,Tier,Text,generation_type,required_level,Spawn_weights
of the Wind,3/11,+(51-55) to Dexterity,suffix,82,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Blur,1/11,+(56-60) to Dexterity,suffix,85,"gloves, quiver, default"
of the Essence,2/11,+(51-58) to Dexterity,suffix,82,default
of the Pupil,11/11,+(8-12) to Intelligence,suffix,1,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Student,10/11,+(13-17) to Intelligence,suffix,11,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Prodigy,9/11,+(18-22) to Intelligence,suffix,22,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Augur,8/11,+(23-27) to Intelligence,suffix,33,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Philosopher,7/11,+(28-32) to Intelligence,suffix,44,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Sage,6/11,+(33-37) to Intelligence,suffix,55,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Savant,5/11,+(38-42) to Intelligence,suffix,66,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Virtuoso,4/11,+(43-50) to Intelligence,suffix,74,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Genius,3/11,+(51-55) to Intelligence,suffix,82,"ring, amulet, helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, wand, dagger, claw, staff, sceptre, default"
of the Polymath,1/11,+(56-60) to Intelligence,suffix,85,"helmet, default"
of the Essence,2/11,+(51-58) to Intelligence,suffix,82,default
of the Clouds,9/9,+(1-4) to all Attributes,suffix,1,"amulet, ring, default"
of the Sky,8/9,+(5-8) to all Attributes,suffix,11,"amulet, ring, default"
of the Meteor,7/9,+(9-12) to all Attributes,suffix,22,"amulet, ring, default"
of the Comet,6/9,+(13-16) to all Attributes,suffix,33,"amulet, ring, default"
of the Heavens,5/9,+(17-20) to all Attributes,suffix,44,"amulet, default"
of the Galaxy,4/9,+(21-24) to all Attributes,suffix,55,"amulet, default"
of the Universe,3/9,+(25-28) to all Attributes,suffix,66,"amulet, default"
of the Infinite,2/9,+(29-32) to all Attributes,suffix,77,"amulet, default"
of the Multiverse,1/9,+(33-35) to all Attributes,suffix,85,"amulet, default"
Hale,23/23,+(3-9) to maximum Life,prefix,1,"fishing_rod, weapon, default"
Healthy,21/23,+(10-24) to maximum Life,prefix,5,"fishing_rod, weapon, default"
Sanguine,19/23,+(25-39) to maximum Life,prefix,11,"fishing_rod, weapon, default"
Stalwart,18/23,+(40-54) to maximum Life,prefix,18,"fishing_rod, weapon, default"
Stout,17/23,+(55-69) to maximum Life,prefix,24,"fishing_rod, weapon, default"
Robust,15/23,+(70-84) to maximum Life,prefix,30,"fishing_rod, weapon, default"
Rotund,14/23,+(85-99) to maximum Life,prefix,36,"fishing_rod, weapon, default"
Virile,12/23,+(100-114) to maximum Life,prefix,44,"fishing_rod, weapon, default"
Athlete's,11/23,+(115-129) to maximum Life,prefix,54,"fishing_rod, weapon, ring, default"
Fecund,9/23,+(130-144) to maximum Life,prefix,64,"fishing_rod, boots, gloves, weapon, ring, amulet, default"
Vigorous,8/23,+(145-159) to maximum Life,prefix,73,"shield, body_armour, default"
Rapturous,6/23,+(160-174) to maximum Life,prefix,81,"body_armour, default"
Prime,1/23,+(175-189) to maximum Life,prefix,86,"body_armour, default"
Essences,22/23,+(5-14) to maximum Life,prefix,3,default
Essences,20/23,+(15-30) to maximum Life,prefix,10,default
Essences,16/23,+(31-45) to maximum Life,prefix,26,default
Essences,13/23,+(46-60) to maximum Life,prefix,42,default
Essences,10/23,+(61-75) to maximum Life,prefix,58,default
Essences,7/23,+(76-90) to maximum Life,prefix,74,default
Essences,5/23,+(120-126) to maximum Life,prefix,82,default
Essences,4/23,+(110-116) to maximum Life,prefix,82,default
Essences,3/23,+(100-106) to maximum Life,prefix,82,default
Essences,2/23,+(91-105) to maximum Life,prefix,82,default
Guatelitzi's,4/4,+(70-79) to maximum Life<br>(3-5)% increased maximum Life,prefix,1,default
Guatelitzi's,3/4,+(110-119) to maximum Life<br>(8-10)% increased maximum Life,prefix,1,default
Beryl,38/38,+(15-19) to maximum Mana,prefix,1,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Cobalt,35/38,+(20-24) to maximum Mana,prefix,11,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Azure,32/38,+(25-29) to maximum Mana,prefix,17,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Sapphire,29/38,+(30-34) to maximum Mana,prefix,23,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Cerulean,26/38,+(35-39) to maximum Mana,prefix,29,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Aqua,23/38,+(40-44) to maximum Mana,prefix,35,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Opalescent,20/38,+(45-49) to maximum Mana,prefix,42,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Gentian,17/38,+(50-54) to maximum Mana,prefix,51,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Chalybeous,14/38,+(55-59) to maximum Mana,prefix,60,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Mazarine,11/38,+(60-64) to maximum Mana,prefix,69,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Blue,8/38,+(65-68) to maximum Mana,prefix,75,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, belt, default"
Zaffre,5/38,+(69-73) to maximum Mana,prefix,81,"ring, amulet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, default"
Ultramarine,1/38,+(74-78) to maximum Mana,prefix,85,"ring, amulet, default"
Essences,2/38,+(69-77) to maximum Mana,prefix,82,default
Xopec's,2/2,+(69-73) to maximum Mana<br>(7-10)% increased maximum Mana,prefix,1,default
Xopec's,2/2,+(74-78) to maximum Mana<br>Gain (2-3) Mana per Enemy Hit with Attacks,prefix,1,default
Xopec's,2/2,+(74-78) to maximum Mana<br>Regenerate (5-7) Mana per second,prefix,1,default
Xopec's,2/2,+(69-73) to maximum Mana<br>(10-6)% increased Mana Reservation Efficiency of Skills,prefix,1,default
Xopec's,2/2,+(74-78) to maximum Mana<br>-(8-6) to Total Mana Cost of Skills,prefix,1,default
Beryl,37/38,+(30-39) to maximum Mana,prefix,1,"sceptre, wand, claw, dagger, default"
Cobalt,34/38,+(40-49) to maximum Mana,prefix,11,"sceptre, wand, claw, dagger, default"
Azure,31/38,+(50-59) to maximum Mana,prefix,17,"sceptre, wand, claw, dagger, default"
Sapphire,28/38,+(60-69) to maximum Mana,prefix,23,"sceptre, wand, claw, dagger, default"
Cerulean,25/38,+(70-79) to maximum Mana,prefix,29,"sceptre, wand, claw, dagger, default"
Aqua,22/38,+(80-89) to maximum Mana,prefix,35,"sceptre, wand, claw, dagger, default"
Opalescent,19/38,+(90-99) to maximum Mana,prefix,42,"sceptre, wand, claw, dagger, default"
Gentian,16/38,+(100-109) to maximum Mana,prefix,51,"sceptre, wand, claw, dagger, default"
Chalybeous,13/38,+(110-119) to maximum Mana,prefix,60,"sceptre, wand, claw, dagger, default"
Mazarine,10/38,+(120-129) to maximum Mana,prefix,69,"sceptre, wand, claw, dagger, default"
Blue,7/38,+(130-139) to maximum Mana,prefix,75,"sceptre, wand, claw, dagger, default"
Zaffre,4/38,+(140-159) to maximum Mana,prefix,81,"sceptre, wand, claw, dagger, default"
Beryl,36/38,+(40-49) to maximum Mana,prefix,1,"staff, default"
Cobalt,33/38,+(50-59) to maximum Mana,prefix,11,"staff, default"
Azure,30/38,+(60-69) to maximum Mana,prefix,17,"staff, default"
Sapphire,27/38,+(70-79) to maximum Mana,prefix,23,"staff, default"
Cerulean,24/38,+(80-89) to maximum Mana,prefix,29,"staff, default"
Aqua,21/38,+(90-99) to maximum Mana,prefix,35,"staff, default"
Opalescent,18/38,+(100-119) to maximum Mana,prefix,42,"staff, default"
Gentian,15/38,+(120-139) to maximum Mana,prefix,51,"staff, default"
Chalybeous,12/38,+(140-159) to maximum Mana,prefix,60,"staff, default"
Mazarine,9/38,+(160-179) to maximum Mana,prefix,69,"staff, default"
Blue,6/38,+(180-199) to maximum Mana,prefix,75,"staff, default"
Zaffre,3/38,+(200-229) to maximum Mana,prefix,81,"staff, default"
Shining,15/16,+(1-3) to maximum Energy Shield,prefix,3,"ring, amulet, belt, default"
Glimmering,14/16,+(4-8) to maximum Energy Shield,prefix,11,"ring, amulet, belt, default"
Glittering,13/16,+(9-12) to maximum Energy Shield,prefix,17,"ring, amulet, belt, default"
Glowing,12/16,+(13-15) to maximum Energy Shield,prefix,23,"ring, amulet, belt, default"
Radiating,11/16,+(16-19) to maximum Energy Shield,prefix,29,"ring, amulet, belt, default"
Pulsing,10/16,+(20-22) to maximum Energy Shield,prefix,35,"ring, amulet, belt, default"
Seething,8/16,+(23-26) to maximum Energy Shield,prefix,42,"ring, amulet, belt, default"
Blazing,7/16,+(27-31) to maximum Energy Shield,prefix,50,"ring, amulet, belt, default"
Scintillating,6/16,+(32-37) to maximum Energy Shield,prefix,59,"ring, amulet, belt, default"
Incandescent,5/16,+(38-43) to maximum Energy Shield,prefix,68,"ring, amulet, belt, default"
Resplendent,4/16,+(44-47) to maximum Energy Shield,prefix,74,"ring, amulet, belt, default"
Dazzling,2/16,+(48-51) to maximum Energy Shield,prefix,80,"ring, amulet, belt, default"
Guatelitzi's,2/2,+(44-47) to maximum Energy Shield<br>(7-10)% increased maximum Energy Shield,prefix,1,default
Guatelitzi's,2/2,+(44-47) to maximum Energy Shield<br>Regenerate 0.4% of Energy Shield per second,prefix,1,default
Shining,24/24,+(3-5) to maximum Energy Shield,prefix,3,"int_armour, str_dex_int_armour, default"
Glimmering,23/24,+(6-11) to maximum Energy Shield,prefix,11,"int_armour, str_dex_int_armour, default"
Glittering,22/24,+(12-16) to maximum Energy Shield,prefix,17,"int_armour, str_dex_int_armour, default"
Glowing,21/24,+(17-23) to maximum Energy Shield,prefix,23,"int_armour, str_dex_int_armour, default"
Radiating,20/24,+(24-30) to maximum Energy Shield,prefix,29,"int_armour, str_dex_int_armour, default"
Pulsing,19/24,+(31-38) to maximum Energy Shield,prefix,35,"int_armour, str_dex_int_armour, default"
Seething,17/24,+(39-49) to maximum Energy Shield,prefix,43,"int_armour, str_dex_int_armour, default"
Blazing,16/24,+(50-61) to maximum Energy Shield,prefix,51,"gloves, boots, int_armour, str_dex_int_armour, default"
Scintillating,11/24,+(62-76) to maximum Energy Shield,prefix,60,"helmet, gloves, boots, int_armour, str_dex_int_armour, default"
Incandescent,10/24,+(77-90) to maximum Energy Shield,prefix,69,"helmet, gloves, boots, int_armour, str_dex_int_armour, default"
Resplendent,5/24,+(91-100) to maximum Energy Shield,prefix,75,"shield, helmet, gloves, boots, int_armour, str_dex_int_armour, default"
Essences,15/24,+(62-72) to maximum Energy Shield,prefix,58,default
Essences,9/24,+(73-82) to maximum Energy Shield,prefix,74,default
Essences,4/24,+(88-95) to maximum Energy Shield,prefix,82,default
Essences,14/24,+(50-59) to maximum Energy Shield,prefix,58,default
Essences,8/24,+(60-69) to maximum Energy Shield,prefix,74,default
Essences,3/24,+(75-85) to maximum Energy Shield,prefix,82,default
Essences,18/24,+(18-26) to maximum Energy Shield,prefix,42,default
Essences,13/24,+(27-32) to maximum Energy Shield,prefix,58,default
Essences,7/24,+(28-35) to maximum Energy Shield,prefix,74,default
Essences,2/24,+(38-45) to maximum Energy Shield,prefix,82,default
Essences,12/24,+(39-45) to maximum Energy Shield,prefix,58,default
Essences,6/24,+(46-51) to maximum Energy Shield,prefix,74,default
Essences,1/24,+(52-58) to maximum Energy Shield,prefix,82,default
Glinting,26/26,Adds 1 to 2 Physical Damage to Attacks,prefix,5,"ring, amulet, gloves, default"
Burnished,24/26,Adds (2-3) to (4-5) Physical Damage to Attacks,prefix,13,"ring, amulet, gloves, default"
Polished,22/26,Adds (3-4) to (6-7) Physical Damage to Attacks,prefix,19,"ring, amulet, gloves, default"
Honed,20/26,Adds (4-6) to (9-10) Physical Damage to Attacks,prefix,28,"ring, amulet, gloves, default"
Gleaming,18/26,Adds (5-7) to (11-12) Physical Damage to Attacks,prefix,35,"ring, amulet, gloves, default"
Annealed,15/26,Adds (6-9) to (13-15) Physical Damage to Attacks,prefix,44,"ring, amulet, gloves, default"
Razor-sharp,13/26,Adds (7-10) to (15-18) Physical Damage to Attacks,prefix,52,"ring, amulet, gloves, default"
Tempered,9/26,Adds (9-12) to (19-22) Physical Damage to Attacks,prefix,64,"ring, amulet, gloves, default"
Flaring,5/26,Adds (11-15) to (22-26) Physical Damage to Attacks,prefix,76,"ring, amulet, gloves, default"
Glinting,25/26,Adds (1-2) to 3 Physical Damage to Attacks,prefix,5,"quiver, default"
Burnished,23/26,Adds (3-4) to (6-8) Physical Damage to Attacks,prefix,13,"quiver, default"
Polished,21/26,Adds (5-6) to (9-10) Physical Damage to Attacks,prefix,19,"quiver, default"
Honed,19/26,Adds (6-9) to (13-16) Physical Damage to Attacks,prefix,28,"quiver, default"
Gleaming,17/26,Adds (8-11) to (16-18) Physical Damage to Attacks,prefix,35,"quiver, default"
Annealed,14/26,Adds (10-13) to (19-23) Physical Damage to Attacks,prefix,44,"quiver, default"
Razor-sharp,12/26,Adds (11-16) to (23-26) Physical Damage to Attacks,prefix,52,"quiver, default"
Tempered,8/26,Adds (14-19) to (28-33) Physical Damage to Attacks,prefix,64,"quiver, default"
Flaring,4/26,Adds (17-23) to (34-39) Physical Damage to Attacks,prefix,76,"quiver, default"
Essences,3/26,Adds (16-18) to (27-30) Physical Damage to Attacks,prefix,82,default
Essences,11/26,Adds (6-8) to (12-13) Physical Damage to Attacks,prefix,58,default
Essences,7/26,Adds (7-9) to (13-15) Physical Damage to Attacks,prefix,74,default
Essences,2/26,Adds (10-11) to (16-17) Physical Damage to Attacks,prefix,82,default
Essences,16/26,Adds (3-5) to (7-8) Physical Damage to Attacks,prefix,42,default
Essences,10/26,Adds (4-5) to (8-9) Physical Damage to Attacks,prefix,58,default
Essences,6/26,Adds (5-6) to (9-10) Physical Damage to Attacks,prefix,74,default
Essences,1/26,Adds (6-7) to (10-11) Physical Damage to Attacks,prefix,82,default
Heated,24/24,Adds 1 to 2 Fire Damage to Attacks,prefix,1,"ring, amulet, gloves, default"
Smouldering,22/24,Adds (3-5) to (7-8) Fire Damage to Attacks,prefix,12,"ring, amulet, gloves, default"
Smoking,20/24,Adds (5-7) to (11-13) Fire Damage to Attacks,prefix,20,"ring, amulet, gloves, default"
Burning,18/24,Adds (7-10) to (15-18) Fire Damage to Attacks,prefix,28,"ring, amulet, gloves, default"
Flaming,16/24,Adds (9-12) to (19-22) Fire Damage to Attacks,prefix,35,"ring, amulet, gloves, default"
Scorching,13/24,Adds (11-15) to (23-27) Fire Damage to Attacks,prefix,44,"ring, amulet, gloves, default"
Incinerating,11/24,Adds (13-18) to (27-31) Fire Damage to Attacks,prefix,52,"ring, amulet, gloves, default"
Blasting,8/24,Adds (16-22) to (32-38) Fire Damage to Attacks,prefix,64,"ring, amulet, gloves, default"
Cremating,5/24,Adds (19-25) to (39-45) Fire Damage to Attacks,prefix,76,"ring, amulet, gloves, default"
Heated,23/24,Adds (1-2) to 3 Fire Damage to Attacks,prefix,1,"quiver, default"
Smouldering,21/24,Adds (5-7) to (10-12) Fire Damage to Attacks,prefix,12,"quiver, default"
Smoking,19/24,Adds (8-10) to (15-18) Fire Damage to Attacks,prefix,20,"quiver, default"
Burning,17/24,Adds (11-14) to (21-25) Fire Damage to Attacks,prefix,28,"quiver, default"
Flaming,15/24,Adds (13-18) to (27-31) Fire Damage to Attacks,prefix,35,"quiver, default"
Scorching,12/24,Adds (17-22) to (33-38) Fire Damage to Attacks,prefix,44,"quiver, default"
Incinerating,10/24,Adds (20-27) to (40-47) Fire Damage to Attacks,prefix,52,"quiver, default"
Blasting,7/24,Adds (27-35) to (53-62) Fire Damage to Attacks,prefix,64,"quiver, default"
Cremating,4/24,Adds (37-50) to (74-87) Fire Damage to Attacks,prefix,76,"quiver, default"
Essences,3/24,Adds (41-55) to (81-96) Fire Damage to Attacks,prefix,82,default
Essences,2/24,Adds (23-27) to (43-48) Fire Damage to Attacks,prefix,82,default
Essences,14/24,Adds (5-7) to (11-14) Fire Damage to Attacks,prefix,42,default
Essences,9/24,Adds (6-8) to (13-17) Fire Damage to Attacks,prefix,58,default
Essences,6/24,Adds (8-10) to (16-18) Fire Damage to Attacks,prefix,74,default
Essences,1/24,Adds (9-11) to (17-21) Fire Damage to Attacks,prefix,82,default
Frosted,24/24,Adds 1 to 2 Cold Damage to Attacks,prefix,2,"ring, amulet, gloves, default"
Chilled,22/24,Adds (3-4) to (7-8) Cold Damage to Attacks,prefix,13,"ring, amulet, gloves, default"
Icy,20/24,Adds (5-7) to (10-12) Cold Damage to Attacks,prefix,21,"ring, amulet, gloves, default"
Frigid,18/24,Adds (6-9) to (13-16) Cold Damage to Attacks,prefix,29,"ring, amulet, gloves, default"
Freezing,16/24,Adds (8-11) to (16-19) Cold Damage to Attacks,prefix,36,"ring, amulet, gloves, default"
Frozen,13/24,Adds (10-13) to (20-24) Cold Damage to Attacks,prefix,45,"ring, amulet, gloves, default"
Glaciated,11/24,Adds (12-16) to (24-28) Cold Damage to Attacks,prefix,53,"ring, amulet, gloves, default"
Polar,8/24,Adds (14-19) to (29-34) Cold Damage to Attacks,prefix,65,"ring, amulet, gloves, default"
Entombing,5/24,Adds (17-22) to (34-40) Cold Damage to Attacks,prefix,77,"ring, amulet, gloves, default"
Frosted,23/24,Adds (1-2) to 3 Cold Damage to Attacks,prefix,2,"quiver, default"
Chilled,21/24,Adds (5-6) to (9-10) Cold Damage to Attacks,prefix,13,"quiver, default"
Icy,19/24,Adds (7-9) to (14-16) Cold Damage to Attacks,prefix,21,"quiver, default"
Frigid,17/24,Adds (10-13) to (19-22) Cold Damage to Attacks,prefix,29,"quiver, default"
Freezing,15/24,Adds (12-16) to (24-28) Cold Damage to Attacks,prefix,36,"quiver, default"
Frozen,12/24,Adds (15-20) to (30-35) Cold Damage to Attacks,prefix,45,"quiver, default"
Glaciated,10/24,Adds (18-24) to (36-42) Cold Damage to Attacks,prefix,53,"quiver, default"
Polar,7/24,Adds (23-32) to (48-55) Cold Damage to Attacks,prefix,65,"quiver, default"
Entombing,4/24,Adds (33-45) to (67-78) Cold Damage to Attacks,prefix,77,"quiver, default"
Essences,3/24,Adds (36-50) to (74-86) Cold Damage to Attacks,prefix,82,default
Essences,2/24,Adds (20-24) to (38-44) Cold Damage to Attacks,prefix,82,default
Essences,14/24,Adds (6-7) to (11-14) Cold Damage to Attacks,prefix,42,default
Essences,9/24,Adds (6-8) to (12-15) Cold Damage to Attacks,prefix,58,default
Essences,6/24,Adds (7-9) to (13-16) Cold Damage to Attacks,prefix,74,default
Essences,1/24,Adds (8-10) to (14-17) Cold Damage to Attacks,prefix,82,default
Humming,25/25,Adds 1 to 5 Lightning Damage to Attacks,prefix,3,"ring, amulet, gloves, default"
Buzzing,23/25,Adds 1 to (14-15) Lightning Damage to Attacks,prefix,13,"ring, amulet, gloves, default"
Snapping,21/25,Adds (1-2) to (22-23) Lightning Damage to Attacks,prefix,22,"ring, amulet, gloves, default"
Crackling,18/25,Adds (1-2) to (27-28) Lightning Damage to Attacks,prefix,28,"ring, amulet, gloves, default"
Sparking,16/25,Adds (1-3) to (33-34) Lightning Damage to Attacks,prefix,35,"ring, amulet, gloves, default"
Arcing,13/25,Adds (1-4) to (40-43) Lightning Damage to Attacks,prefix,44,"ring, amulet, gloves, default"
Shocking,11/25,Adds (2-5) to (47-50) Lightning Damage to Attacks,prefix,52,"ring, amulet, gloves, default"
Discharging,8/25,Adds (3-6) to (57-61) Lightning Damage to Attacks,prefix,64,"ring, amulet, gloves, default"
Electrocuting,5/25,Adds (3-7) to (68-72) Lightning Damage to Attacks,prefix,76,"ring, amulet, gloves, default"
Humming,24/25,Adds 1 to (3-4) Lightning Damage to Attacks,prefix,3,"quiver, default"
Buzzing,22/25,Adds 2 to (16-18) Lightning Damage to Attacks,prefix,13,"quiver, default"
Snapping,20/25,Adds (1-3) to (25-28) Lightning Damage to Attacks,prefix,22,"quiver, default"
Crackling,17/25,Adds (2-3) to (35-40) Lightning Damage to Attacks,prefix,28,"quiver, default"
Sparking,15/25,Adds (2-4) to (44-50) Lightning Damage to Attacks,prefix,35,"quiver, default"
Arcing,12/25,Adds (2-5) to (56-62) Lightning Damage to Attacks,prefix,44,"quiver, default"
Shocking,10/25,Adds (2-6) to (66-75) Lightning Damage to Attacks,prefix,52,"quiver, default"
Discharging,7/25,Adds (3-8) to (89-99) Lightning Damage to Attacks,prefix,64,"quiver, default"
Electrocuting,4/25,Adds (5-11) to (124-140) Lightning Damage to Attacks,prefix,76,"quiver, default"
Essences,3/25,Adds (6-13) to (136-155) Lightning Damage to Attacks,prefix,82,default
Essences,2/25,Adds (4-8) to (71-76) Lightning Damage to Attacks,prefix,82,default
Essences,19/25,Adds (1-2) to (21-22) Lightning Damage to Attacks,prefix,26,default
Essences,14/25,Adds (1-2) to (23-24) Lightning Damage to Attacks,prefix,42,default
Essences,9/25,Adds (1-2) to (25-26) Lightning Damage to Attacks,prefix,58,default
Essences,6/25,Adds (1-2) to (27-28) Lightning Damage to Attacks,prefix,74,default
Essences,1/25,Adds (1-3) to (29-30) Lightning Damage to Attacks,prefix,82,default
Malicious,1/5,Adds (27-41) to (55-69) Chaos Damage to Attacks,prefix,83,"quiver, default"
Topotante's,2/2,Adds (5-7) to (11-13) Fire Damage to Attacks<br>25% of Physical Damage Converted to Fire Damage,prefix,1,default
Topotante's,2/2,Adds (5-7) to (10-12) Cold Damage to Attacks<br>25% of Physical Damage Converted to Cold Damage,prefix,1,default
Topotante's,2/2,Adds (1-2) to (22-23) Lightning Damage to Attacks<br>25% of Physical Damage Converted to Lightning Damage,prefix,1,default
Remora's,3/3,(0.2-0.4)% of Physical Attack Damage Leeched as Life,prefix,9,default
Lamprey's,2/3,(0.6-0.8)% of Physical Attack Damage Leeched as Life,prefix,25,default
Vampire's,1/3,(1-1.2)% of Physical Attack Damage Leeched as Life,prefix,72,default
Remora's,12/20,(0.2-0.4)% of Physical Attack Damage Leeched as Life,prefix,50,default
Lamprey's,8/20,(0.6-0.8)% of Physical Attack Damage Leeched as Life,prefix,60,default
Vampire's,6/20,(1-1.2)% of Physical Attack Damage Leeched as Life,prefix,70,default
of the Remora,11/20,(0.2-0.4)% of Physical Attack Damage Leeched as Life,suffix,50,"ring, amulet, gloves, quiver, default"
of the Lamprey,7/20,(0.6-0.8)% of Physical Attack Damage Leeched as Life,suffix,60,"ranged, amulet, default"
of the Vampire,5/20,(1-1.2)% of Physical Attack Damage Leeched as Life,suffix,70,"ranged, amulet, default"
Essences,20/20,(0.5-0.7)% of Physical Attack Damage Leeched as Life,prefix,1,default
Essences,18/20,(0.6-0.8)% of Physical Attack Damage Leeched as Life,prefix,10,default
Essences,16/20,(0.7-0.9)% of Physical Attack Damage Leeched as Life,prefix,26,default
Essences,14/20,(0.8-1)% of Physical Attack Damage Leeched as Life,prefix,42,default
Essences,10/20,(0.9-1.1)% of Physical Attack Damage Leeched as Life,prefix,58,default
Essences,4/20,(1-1.2)% of Physical Attack Damage Leeched as Life,prefix,74,default
Essences,2/20,(1.1-1.3)% of Physical Attack Damage Leeched as Life,prefix,82,default
of the Essence,19/20,(0.5-0.7)% of Physical Attack Damage Leeched as Life,suffix,1,default
