name,Text,required_level,Enchant_pos
Enchantment Arcane Cloak Grants Life Regeneration 1,Arcane Cloak grants Life Regeneration equal to 15% of Mana Spent per Second,75,h
Enchantment Arcanist Brand Cast Speed 1,Arcanist Brand has 8% increased Cast Speed,66,h
Enchantment Arcanist Brand Cast Speed 2,Arcanist Brand has 12% increased Cast Speed,75,h
Enchantment Arcanist Brand Unnerve 1,Spells Triggered by Arcanist Brand Unnerve enemies on Hit for 4 seconds,75,h
Enchantment Arc Damage 1,25% increased Arc Damage,66,h
Enchantment Arc Damage 2,40% increased Arc Damage,75,h
Enchantment Arc Damage Per Chain 1,Arc deals 8% increased Damage for each time it has Chained,66,h
Enchantment Arc Damage Per Chain 2,Arc deals 12% increased Damage for each time it has Chained,75,h
Enchantment Arc Num Of Additional Projectiles In Chain 1,Arc Chains an additional time,75,h
Enchantment Arc Shock Chance 1,Arc has +20% chance to Shock,66,h
Enchantment Arc Shock Chance 2,Arc has +30% chance to Shock,75,h
Enchantment Arctic Armour Mana Reservation 1,Arctic Armour has 50% increased Mana Reservation Efficiency,66,h
Enchantment Arctic Armour Mana Reservation 2,Arctic Armour has 75% increased Mana Reservation Efficiency,75,h
Enchantment Creeping Frost Chilling Area Movement Velocity 1,Creeping Frost's Chilling Area has 38% increased Movement Speed,75,h
Enchantment Creeping Frost Damage 1,25% increased Creeping Frost Damage,66,h
Enchantment Creeping Frost Damage 2,40% increased Creeping Frost Damage,75,h
Enchantment Creeping Frost Duration 1,24% increased Creeping Frost Duration,66,h
Enchantment Creeping Frost Duration 2,36% increased Creeping Frost Duration,75,h
Enchantment Creeping Frost Area Of Effect 1,16% increased Creeping Frost Area of Effect,66,h
Enchantment Creeping Frost Area Of Effect 2,24% increased Creeping Frost Area of Effect,75,h
Enchantment Armageddon Brand Damage 1,Armageddon Brand deals 25% increased Damage,66,h
Enchantment Armageddon Brand Damage 2,Armageddon Brand deals 40% increased Damage,75,h
Enchantment Artillery Ballista Cross Pattern 1,Artillery Ballista Projectiles fall in two perpendicular lines instead,75,h
Enchantment Artillery Ballista Additional Arrows 1,Artillery Ballista fires an additional Arrow,66,h
Enchantment Artillery Ballista Additional Arrows 2,Artillery Ballista fires 2 additional Arrows,75,h
Enchantment Artillery Ballista Fire Penetration 1,Artillery Ballista Damage Penetrates 6% Fire Resistance,66,h
Enchantment Artillery Ballista Fire Penetration 2,Artillery Ballista Damage Penetrates 10% Fire Resistance,75,h
Enchantment Assassins Mark Curse Effect 1,20% increased Assassin's Mark Curse Effect,66,h
Enchantment Assassins Mark Curse Effect 2,30% increased Assassin's Mark Curse Effect,75,h
Enchantment Ball Lightning Additional Projectiles 1,Ball Lightning fires an additional Projectile,75,h
Enchantment Ball Lightning Damage 1,25% increased Ball Lightning Damage,66,h
Enchantment Ball Lightning Damage 2,40% increased Ball Lightning Damage,75,h
Enchantment Ball Lightning Area Of Effect 1,16% increased Ball Lightning Area of Effect,66,h
Enchantment Ball Lightning Area Of Effect 2,24% increased Ball Lightning Area of Effect,75,h
Enchantment Bane Area Of Effect 1,Bane has 16% increased Area of Effect,66,h
Enchantment Bane Area Of Effect 2,Bane has 24% increased Area of Effect,75,h
Enchantment Bane Damage 1,Bane deals 25% increased Damage,66,h
Enchantment Bane Damage 2,Bane deals 40% increased Damage,75,h
Enchantment Bane Linked Curse Effect 2,10% increased Effect of Curses applied by Bane,75,h
Enchantment Barrage Attack Speed 1,10% increased Barrage Attack Speed,66,h
Enchantment Barrage Attack Speed 2,15% increased Barrage Attack Speed,75,h
Enchantment Barrage Damage 1,25% increased Barrage Damage,66,h
Enchantment Barrage Damage 2,40% increased Barrage Damage,75,h
Enchantment Barrage Num Of Additional Projectiles 1,Barrage fires an additional Projectile,75,h
Enchantment Battlemage's Cry Additional Exert,Battlemage's Cry Exerts 1 additional Attack,75,h
Enchantment Battlemage's Cry Buff Effect 1,10% increased Battlemage's Cry Buff Effect,66,h
Enchantment Battlemage's Cry Buff Effect 2,15% increased Battlemage's Cry Buff Effect,75,h
Enchantment Bear Trap Cooldown Speed 1,Bear Trap has 10% increased Cooldown Recovery Rate,66,h
Enchantment Bear Trap Cooldown Speed 2,Bear Trap has 15% increased Cooldown Recovery Rate,75,h
Enchantment Bear Trap Damage 1,25% increased Bear Trap Damage,66,h
Enchantment Bear Trap Damage 2,40% increased Bear Trap Damage,75,h
Enchantment Bear Trap Damage Taken 1,Enemies affected by Bear Trap take 5% increased Damage from Trap or Mine Hits,66,h
Enchantment Bear Trap Damage Taken 2,Enemies affected by Bear Trap take 10% increased Damage from Trap or Mine Hits,75,h
Enchantment Berserk Effect 1,Berserk has 20% increased Buff Effect,66,h
Enchantment Berserk Effect 2,Berserk has 30% increased Buff Effect,75,h
Enchantment Berserk Rage Loss 1,Berserk has 25% reduced Rage loss per second,66,h
Enchantment Berserk Rage Loss 2,Berserk has 40% reduced Rage loss per second,75,h
Enchantment Blade Blast Area of Effect 1,Blade Blast has 16% increased Area of Effect,66,h
Enchantment Blade Blast Area of Effect 2,Blade Blast has 24% increased Area of Effect,75,h
Enchantment Blade Blast Damage 1,Blade Blast deals 25% increased Damage,66,h
Enchantment Blade Blast Damage 2,Blade Blast deals 40% increased Damage,75,h
Enchantment Blade Blast Detonation Area 1,Blade Blast detonates other Lingering Blades within an 50% increased Area,66,h
Enchantment Blade Blast Detonation Area 2,Blade Blast detonates other Lingering Blades within an 75% increased Area,75,h
Enchantment Bladefall Additional Volley,Bladefall has an additional Volley,75,h
Enchantment Bladefall Critical Strike Chance 1,60% increased Bladefall Critical Strike Chance,66,h
Enchantment Bladefall Critical Strike Chance 2,90% increased Bladefall Critical Strike Chance,75,h
Enchantment Bladefall Damage 1,25% increased Bladefall Damage,66,h
Enchantment Bladefall Damage 2,40% increased Bladefall Damage,75,h
Enchantment Bladefall Area Of Effect 1,16% increased Bladefall Area of Effect,66,h
Enchantment Bladefall Area Of Effect 2,24% increased Bladefall Area of Effect,75,h
Enchantment Bladestorm Damage 1,Bladestorm deals 25% increased Damage,66,h
Enchantment Bladestorm Damage 2,Bladestorm deals 40% increased Damage,75,h
Enchantment Bladestorm Maximum Number Of Storms Allowed 1,+1 to maximum number of Bladestorms,75,h
Enchantment Bladestorm Sandstorm Speed 1,Sand Bladestorms move with 50% increased speed,66,h
Enchantment Bladestorm Sandstorm Speed 2,Sand Bladestorms move with 75% increased speed,75,h
Enchantment Blade Trap Additional Rotation,Blade Trap rotates +1 times,75,h
Enchantment Blade Trap Damage 1,25% increased Blade Trap Damage,66,h
Enchantment Blade Trap Damage 2,40% increased Blade Trap Damage,75,h
Enchantment Blade Trap Area Of Effect 1,16% increased Blade Trap Area of Effect,66,h
Enchantment Blade Trap Area Of Effect 2,24% increased Blade Trap Area of Effect,75,h
Enchantment Blade Vortex Crit Multi Per Blade 1,Blade Vortex has +2% to Critical Strike Multiplier for each blade,66,h
Enchantment Blade Vortex Crit Multi Per Blade 2,Blade Vortex has +3% to Critical Strike Multiplier for each blade,75,h
Enchantment Blade Vortex Damage 1,25% increased Blade Vortex Spell Damage,66,h
Enchantment Blade Vortex Damage 2,40% increased Blade Vortex Spell Damage,75,h
Enchantment Blade Vortex Duration 1,20% increased Blade Vortex Duration,66,h
Enchantment Blade Vortex Duration 2,30% increased Blade Vortex Duration,75,h
Enchantment Blade Vortex Area Of Effect 1,16% increased Blade Vortex Area of Effect,66,h
Enchantment Blade Vortex Area Of Effect 2,24% increased Blade Vortex Area of Effect,75,h
Enchantment Blast Rain Additional Blast 2,Blast Rain fires an additional Arrow,75,h
Enchantment Blast Rain Damage 1,Blast Rain deals 25% increased Damage,66,h
Enchantment Blast Rain Damage 2,Blast Rain deals 40% increased Damage,75,h
Enchantment Blast Rain Area Of Effect 1,Blast Rain has 16% increased Area of Effect,66,h
Enchantment Blast Rain Area Of Effect 2,Blast Rain has 24% increased Area of Effect,75,h
Enchantment Blazing Salvo Damage 1,Blazing Salvo deals 25% increased Damage,66,h
Enchantment Blazing Salvo Damage 2,Blazing Salvo deals 40% increased Damage,75,h
Enchantment Blazing Salvo Num of Additional Projectiles 1,Blazing Salvo fires an additional Projectile,75,h
Enchantment Blazing Salvo Spread Area 1,Blazing Salvo Projectiles land in a 20% increased Area,66,h
Enchantment Blazing Salvo Spread Area 2,Blazing Salvo Projectiles land in a 30% increased Area,75,h
Enchantment Blight Damage 1,25% increased Blight Damage,66,h
Enchantment Blight Damage 2,40% increased Blight Damage,75,h
Enchantment Blight Area Of Effect 1,16% increased Blight Area of Effect,66,h
Enchantment Blight Area Of Effect 2,24% increased Blight Area of Effect,75,h
Enchantment Blight Secondary Skill Duration 1,Blight has 20% increased Hinder Duration,66,h
Enchantment Blight Secondary Skill Duration 2,Blight has 30% increased Hinder Duration,75,h
Enchantment Blink Arrow Attack Speed 1,Blink Arrow and Blink Arrow Clones have 10% increased Attack Speed,66,h
Enchantment Blink Arrow Attack Speed 2,Blink Arrow and Blink Arrow Clones have 15% increased Attack Speed,75,h
Enchantment Blink Arrow Cooldown Speed 1,Blink Arrow has 20% increased Cooldown Recovery Rate,66,h
Enchantment Blink Arrow Cooldown Speed 2,Blink Arrow has 30% increased Cooldown Recovery Rate,75,h
Enchantment Blink Arrow Damage 1,Blink Arrow and Blink Arrow Clones have 25% increased Damage,66,h
Enchantment Blink Arrow Damage 2,Blink Arrow and Blink Arrow Clones have 40% increased Damage,75,h
Enchantment Blood and Sand Buff Effect 1,Blood and Sand has 25% increased Buff Effect,66,h
Enchantment Blood and Sand Buff Effect 2,Blood and Sand has 40% increased Buff Effect,75,h
Enchantment Blood Rage Attack Speed 1,Blood Rage grants additional 8% increased Attack Speed,66,h
Enchantment Blood Rage Attack Speed 2,Blood Rage grants additional 12% increased Attack Speed,75,h
Enchantment Blood Rage Frenzy On Kill 1,Blood Rage grants additional 20% chance to gain a Frenzy Charge on Kill,66,h
Enchantment Blood Rage Frenzy On Kill 2,Blood Rage grants additional 30% chance to gain a Frenzy Charge on Kill,75,h
Enchantment Reap Damage 1,Reap deals 25% increased Damage,66,h
Enchantment Reap Damage 2,Reap deals 40% increased Damage,75,h
Enchantment Reap Maximum Blood Charges 1,+1 to Maximum Blood Charges,75,h
Enchantment Reap Area Of Effect 1,16% increased Reap Area of Effect,66,h
Enchantment Reap Area Of Effect 2,24% increased Reap Area of Effect,75,h
Enchantment Body Swap Cast Speed 1,8% increased Bodyswap Cast Speed,66,h
Enchantment Body Swap Cast Speed 2,12% increased Bodyswap Cast Speed,75,h
Enchantment Body Swap Damage 1,25% increased Bodyswap Damage,66,h
Enchantment Body Swap Damage 2,40% increased Bodyswap Damage,75,h
Enchantment Unearth Cast Speed 1,8% increased Unearth Cast Speed,66,h
Enchantment Unearth Cast Speed 2,12% increased Unearth Cast Speed,75,h
Enchantment Unearth Corpse Level 1,Unearth Spawns corpses with +3 Level,66,h
Enchantment Unearth Corpse Level 2,Unearth Spawns corpses with +5 Level,75,h
Enchantment Unearth Damage 1,25% increased Unearth Damage,66,h
Enchantment Unearth Damage 2,40% increased Unearth Damage,75,h
Enchantment Bone Offering Block Chance 1,Bone Offering grants an additional +6% Chance to Block Attack Damage,66,h
Enchantment Bone Offering Block Chance 2,Bone Offering grants an additional +9% Chance to Block Attack Damage,75,h
Enchantment Bone Offering Duration 1,30% increased Bone Offering Duration,66,h
Enchantment Bone Offering Duration 2,45% increased Bone Offering Duration,75,h
Enchantment Boneshatter Chance for Additional Trauma 1,Boneshatter has 16% chance to grant +1 Trauma,66,h
Enchantment Boneshatter Chance for Additional Trauma 2,Boneshatter has 24% chance to grant +1 Trauma,75,h
Enchantment Boneshatter Damage 1,25% increased Boneshatter Damage,66,h
Enchantment Boneshatter Damage 2,40% increased Boneshatter Damage,75,h
Enchantment Boneshatter Stun Duration 1,25% increased Boneshatter Stun Duration,66,h
Enchantment Boneshatter Stun Duration 2,40% increased Boneshatter Stun Duration,75,h
Enchantment Burning Arrow Damage 1,25% increased Burning Arrow Damage,66,h
Enchantment Burning Arrow Damage 2,40% increased Burning Arrow Damage,75,h
Enchantment Burning Arrow Ignite Chance 1,Burning Arrow has +20% chance to Ignite,66,h
Enchantment Burning Arrow Ignite Chance 2,Burning Arrow has +30% chance to Ignite,75,h
Enchantment Burning Arrow Physical Damage Percent To Add As Fire Damage 1,10% of Burning Arrow Physical Damage gained as Extra Fire Damage,66,h
Enchantment Burning Arrow Physical Damage Percent To Add As Fire Damage 2,15% of Burning Arrow Physical Damage gained as Extra Fire Damage,75,h
Enchantment Summon Carrion Golem Damage 1,Summoned Carrion Golems deal 25% increased Damage,66,h
Enchantment Summon Carrion Golem Damage 2,Summoned Carrion Golems deal 40% increased Damage,75,h
Enchantment Summon Carrion Golem Elemental Resistances 1,Summoned Carrion Golems have +24% to all Elemental Resistances,66,h
Enchantment Summon Carrion Golem Elemental Resistances 2,Summoned Carrion Golems have +36% to all Elemental Resistances,75,h
Enchantment Summon Carrion Golem Granted Buff Effect 1,100% increased Effect of the Buff granted by your Carrion Golems,66,h
Enchantment Summon Carrion Golem Granted Buff Effect 2,150% increased Effect of the Buff granted by your Carrion Golems,75,h
Enchantment Caustic Arrow Damage 1,25% increased Caustic Arrow Damage,66,h
Enchantment Caustic Arrow Damage 2,40% increased Caustic Arrow Damage,75,h
Enchantment Caustic Arrow Duration 1,20% increased Caustic Arrow Duration,66,h
Enchantment Caustic Arrow Duration 2,30% increased Caustic Arrow Duration,75,h
Enchantment Caustic Arrow Area Of Effect 1,16% increased Caustic Arrow Area of Effect,66,h
Enchantment Caustic Arrow Area Of Effect 2,24% increased Caustic Arrow Area of Effect,75,h
Enchantment Caustic Arrow Wither On Hit 1,Caustic Arrow has 14% chance to inflict Withered on Hit for 2 seconds base Duration,66,h
Enchantment Caustic Arrow Wither On Hit 2,Caustic Arrow has 20% chance to inflict Withered on Hit for 2 seconds base Duration,75,h
Enchantment Chain Hook Cone Radius Per 12 Rage 1,Chain Hook has +1 Radius per 12 Rage,75,h
Enchantment Chain Hook Damage 1,Chain Hook deals 25% increased Damage,66,h
Enchantment Chain Hook Damage 2,Chain Hook deals 40% increased Damage,75,h
Enchantment Chain Hook Gain Rage On Hit Chance 1,Chain Hook has a 25% chance to grant +1 Rage if it Hits Enemies,66,h
Enchantment Chain Hook Gain Rage On Hit Chance 2,Chain Hook has a 40% chance to grant +1 Rage if it Hits Enemies,75,h
Enchantment Chaos Golem Elemental Resistances 1,+24% to Chaos Golem Elemental Resistances,66,h
Enchantment Chaos Golem Elemental Resistances 2,+36% to Chaos Golem Elemental Resistances,75,h
Enchantment Chaos Golem Percent Additional Physical Damage Reduction 1,75% increased Effect of the Buff granted by your Chaos Golems,66,h
Enchantment Chaos Golem Percent Additional Physical Damage Reduction 2,100% increased Effect of the Buff granted by your Chaos Golems,75,h
Enchantment Blade Flurry Damage 1,25% increased Blade Flurry Damage,66,h
Enchantment Blade Flurry Damage 2,40% increased Blade Flurry Damage,75,h
Enchantment Blade Flurry Maximum Stage 1,+1 to maximum Blade Flurry stages,75,h
Enchantment Blade Flurry Area Of Effect 1,16% increased Blade Flurry Area of Effect,66,h
Enchantment Blade Flurry Area Of Effect 2,24% increased Blade Flurry Area of Effect,75,h
Enchantment Charged Dash Damage 1,25% increased Charged Dash Damage,66,h
Enchantment Charged Dash Damage 2,40% increased Charged Dash Damage,75,h
Enchantment Charged Dash Movement Speed 1,Charged Dash has 10% more Movement Speed,66,h
Enchantment Charged Dash Movement Speed 2,Charged Dash has 15% more Movement Speed,75,h
Enchantment Charged Dash Radius Final Explosion 1,Charged Dash has +4 to Radius of each Wave's last damage Area,66,h
Enchantment Charged Dash Radius Final Explosion 2,Charged Dash has +6 to Radius of each Wave's last damage Area,75,h
Enchantment Clarity Mana Reservation 1,Clarity has 50% increased Mana Reservation Efficiency,66,h
Enchantment Clarity Mana Reservation 2,Clarity has 75% increased Mana Reservation Efficiency,75,h
Enchantment Cleave Attack Speed 1,10% increased Cleave Attack Speed,66,h
Enchantment Cleave Attack Speed 2,15% increased Cleave Attack Speed,75,h
Enchantment Cleave Damage 1,25% increased Cleave Damage,66,h
Enchantment Cleave Damage 2,40% increased Cleave Damage,75,h
Enchantment Cleave Area Of Effect 1,16% increased Cleave Area of Effect,66,h
Enchantment Cleave Area Of Effect 2,24% increased Cleave Area of Effect,75,h
Enchantment Cobra Lash Damage 1,Cobra Lash deals 25% increased Damage,66,h
Enchantment Cobra Lash Damage 2,Cobra Lash deals 40% increased Damage,75,h
Enchantment Cobra Lash Number Of Additional Chains 1,Cobra Lash Chains 2 additional times,66,h
Enchantment Cobra Lash Number Of Additional Chains 2,Cobra Lash Chains 3 additional times,75,h
Enchantment Cobra Lash Projectile Speed 1,Cobra Lash has 20% increased Projectile Speed,66,h
Enchantment Cobra Lash Projectile Speed 2,Cobra Lash has 30% increased Projectile Speed,75,h
Enchantment Icicle Mine Critical Multiplier 1,Icicle Mine has +20% to Critical Strike Multiplier,66,h
Enchantment Icicle Mine Critical Multiplier 2,Icicle Mine has +30% to Critical Strike Multiplier,75,h
Enchantment Icicle Mine Damage 1,Icicle Mine deals 25% increased Damage,66,h
Enchantment Icicle Mine Damage 2,Icicle Mine deals 40% increased Damage,75,h
Enchantment Icicle Mine Throwing Speed 1,Icicle Mine has 10% increased Throwing Speed,66,h
Enchantment Icicle MineThrowing Speed 2,Icicle Mine has 15% increased Throwing Speed,75,h
Enchantment Cold Snap Cooldown Speed 1,Cold Snap has 20% increased Cooldown Recovery Rate,66,h
Enchantment Cold Snap Cooldown Speed 2,Cold Snap has 30% increased Cooldown Recovery Rate,75,h
Enchantment Cold Snap Damage 1,25% increased Cold Snap Damage,66,h
Enchantment Cold Snap Damage 2,40% increased Cold Snap Damage,75,h
Enchantment Cold Snap Area Of Effect 1,16% increased Cold Snap Area of Effect,66,h
Enchantment Cold Snap Area Of Effect 2,24% increased Cold Snap Area of Effect,75,h
Enchantment Conductivity Curse Effect 1,10% increased Conductivity Curse Effect,66,h
Enchantment Conductivity Curse Effect 2,15% increased Conductivity Curse Effect,75,h
Enchantment Conductivity Duration 1,30% increased Conductivity Duration,66,h
Enchantment Conductivity Duration 2,45% increased Conductivity Duration,75,h
Enchantment Consecrated Path Damage 1,Consecrated Path deals 25% increased Damage,66,h
Enchantment Consecrated Path Damage 2,Consecrated Path deals 40% increased Damage,75,h
Enchantment Consecrated Path Area Of Effect 1,Consecrated Path has 16% increased Area of Effect,66,h
Enchantment Consecrated Path Area Of Effect 2,Consecrated Path has 24% increased Area of Effect,75,h
Enchantment Consecrated Path Range 1,Consecrated Path has 10% increased teleport range,66,h
Enchantment Consecrated Path Range 2,Consecrated Path has 15% increased teleport range,75,h
Enchantment Contagion Damage 1,25% increased Contagion Damage,66,h
Enchantment Contagion Damage 2,40% increased Contagion Damage,75,h
Enchantment Contagion Duration 1,20% increased Contagion Duration,66,h
Enchantment Contagion Duration 2,30% increased Contagion Duration,75,h
Enchantment Contagion Radius 1,16% increased Contagion Area of Effect,66,h
Enchantment Contagion Radius 2,24% increased Contagion Area of Effect,75,h
Enchantment Conversion Trap Cooldown Speed 1,Conversion Trap 20% increased Cooldown Recovery Rate,66,h
Enchantment Conversion Trap Cooldown Speed 2,Conversion Trap 30% increased Cooldown Recovery Rate,75,h
Enchantment Conversion Trap Damage 1,Converted Enemies have 25% increased Damage,66,h
Enchantment Conversion Trap Damage 2,Converted Enemies have 40% increased Damage,75,h
Enchantment Convocation Cooldown Speed 1,Convocation has 20% increased Cooldown Recovery Rate,66,h
Enchantment Convocation Cooldown Speed 2,Convocation has 30% increased Cooldown Recovery Rate,75,h
Enchantment Convocation Life Regeneration 1,24% increased Convocation Buff Effect,66,h
Enchantment Convocation Life Regeneration 2,36% increased Convocation Buff Effect,75,h
Enchantment Cremation Cast Speed 1,8% increased Cremation Cast Speed,66,h
Enchantment Cremation Cast Speed 2,12% increased Cremation Cast Speed,75,h
Enchantment Cremation Damage 1,25% increased Cremation Damage,66,h
Enchantment Cremation Damage 2,40% increased Cremation Damage,75,h
Enchantment Cremation Maximum Geysers 1,Cremation can have up to 1 additional Geyser at a time,75,h
Enchantment Corrupting Fever Additional Corrupted Blood 1,Corrupting Fever has +50% chance to inflict an additional Corrupted Blood Debuff,75,h
Enchantment Corrupting Fever Damage 1,Corrupting Fever deals 25% increased Damage,66,h
Enchantment Corrupting Fever Damage 2,Corrupting Fever deals 40% increased Damage,75,h
Enchantment Corrupting Fever Duration 1,20% increased Corrupting Fever Duration,66,h
Enchantment Corrupting Fever Duration 2,30% increased Corrupting Fever Duration,75,h
Enchantment Crackling Lance Cast Speed 1,Crackling Lance has 8% increased Cast Speed,66,h
Enchantment Crackling Lance Cast Speed 2,Crackling Lance has 16% increased Cast Speed,75,h
Enchantment Crackling Lance Damage 1,Crackling Lance deals 25% increased Damage,66,h
Enchantment Crackling Lance Damage 2,Crackling Lance deals 40% increased Damage,75,h
Enchantment Crackling Lance Beam Angle 1,Crackling Lance has 24% increased branching angle,66,h
Enchantment Crackling Lance Beam Angle 2,Crackling Lance has 36% increased branching angle,75,h
Enchantment Cyclone Attack Speed 1,10% increased Cyclone Attack Speed,66,h
Enchantment Cyclone Attack Speed 2,15% increased Cyclone Attack Speed,75,h
Enchantment Cyclone Damage 1,25% increased Cyclone Damage,66,h
Enchantment Cyclone Damage 2,40% increased Cyclone Damage,75,h
Enchantment Dash Cooldown Count 1,Dash has +1 Cooldown Use,66,h
Enchantment Dash Cooldown Count 2,Dash has +2 Cooldown Uses,75,h
Enchantment Dash Travel Distance 1,Dash travels 65% increased distance,66,h
Enchantment Dash Travel Distance 2,Dash travels 100% increased distance,75,h
Enchantment Decoy Totem Life 1,40% increased Decoy Totem Life,66,h
Enchantment Decoy Totem Life 2,60% increased Decoy Totem Life,75,h
Enchantment Decoy Totem Area Of Effect 1,16% increased Decoy Totem Area of Effect,66,h
Enchantment Decoy Totem Area Of Effect 2,24% increased Decoy Totem Area of Effect,75,h
Enchantment Defiance Banner Aura Effect 1,Defiance Banner has 25% increased Aura Effect,66,h
Enchantment Defiance Banner Aura Effect 2,Defiance Banner has 40% increased Aura Effect,75,h
Enchantment Desecrate Additional Corpse 1,Desecrate Spawns 2 additional corpses,66,h
Enchantment Desecrate Additional Corpse 2,Desecrate Spawns 3 additional corpses,75,h
Enchantment Despair Duration 1,30% increased Despair Duration,66,h
Enchantment Despair Duration 2,45% increased Despair Duration,75,h
Enchantment Despair Effect 1,10% increased Despair Curse Effect,66,h
Enchantment Despair Effect 2,15% increased Despair Curse Effect,75,h
Enchantment Destructive Link Duration 1,20% increased Destructive Link Duration,66,h
Enchantment Destructive Link Duration 2,30% increased Destructive Link Duration,75,h
Enchantment Determination Mana Reservation 1,Determination has 20% increased Mana Reservation Efficiency,66,h
Enchantment Determination Mana Reservation 2,Determination has 30% increased Mana Reservation Efficiency,75,h
Enchantment Detonate Dead Damage 1,25% increased Detonate Dead Damage,66,h
Enchantment Detonate Dead Damage 2,40% increased Detonate Dead Damage,75,h
Enchantment Detonate Dead Percent Chance To Detonate Additional Corpse 1,Detonate Dead has a 30% chance to detonate an additional corpse,66,h
Enchantment Detonate Dead Percent Chance To Detonate Additional Corpse 2,Detonate Dead has a 45% chance to detonate an additional corpse,75,h
