name,Tier,Text,generation_type,required_level,Spawn_weights
"of the Furnace","Unknown","Various","suffix","Various","Various"
"of the Volcano","Unknown","Various","suffix","Various","Various"
"of Magma","Unknown","Various","suffix","Various","Various"
"of Tzteosh","Unknown","Various","suffix","Various","Various"
"of the Seal","Unknown","Various","suffix","Various","Various"
"of the Penguin","Unknown","Various","suffix","Various","Various"
"of the Narwhal","Unknown","Various","suffix","Various","Various"
"of the Yeti","Unknown","Various","suffix","Various","Various"
"of the Walrus","Unknown","Various","suffix","Various","Various"
"of the Polar Bear","Unknown","Various","suffix","Various","Various"
"of the Ice","Unknown","Various","suffix","Various","Various"
"of Haast","Unknown","Various","suffix","Various","Various"
"of the Cloud","Unknown","Various","suffix","Various","Various"
"of the Squall","Unknown","Various","suffix","Various","Various"
"of the Storm","Unknown","Various","suffix","Various","Various"
"of the Thunderhead","Unknown","Various","suffix","Various","Various"
"of the Tempest","Unknown","Various","suffix","Various","Various"
"of the Maelstrom","Unknown","Various","suffix","Various","Various"
"of the Lightning","Unknown","Various","suffix","Various","Various"
"of Ephij","Unknown","Various","suffix","Various","Various"
"of the Crystal","Unknown","+(3-5)% to all [ElementalDamage|Elemental] [Resistances]","suffix","12","str_int_shield, ring, amulet, default"
"of the Prism","Unknown","Various","suffix","Various","Various"
"of the Kaleidoscope","Unknown","+(9-11)% to all [ElementalDamage|Elemental] [Resistances]","suffix","40","str_int_shield, ring, amulet, default"
"of Variegation","Unknown","+(12-14)% to all [ElementalDamage|Elemental] [Resistances]","suffix","54","str_int_shield, ring, amulet, default"
"of the Rainbow","Unknown","+(15-16)% to all [ElementalDamage|Elemental] [Resistances]","suffix","68","str_int_shield, ring, amulet, default"
"of the Span","Unknown","+(17-18)% to all [ElementalDamage|Elemental] [Resistances]","suffix","80","str_int_shield, amulet, default"
"of Adjustment","Unknown","[Allies|Allies] in your [Presence|Presence] have +(3-5)% to all [ElementalDamage|Elemental] [Resistances|Resistances]","suffix","12","sceptre, default"
"of Acclimatisation","Unknown","Various","suffix","Various","Various"
"of Adaptation","Unknown","Various","suffix","Various","Various"
"of Evolution","Unknown","[Allies|Allies] in your [Presence|Presence] have +(12-14)% to all [ElementalDamage|Elemental] [Resistances|Resistances]","suffix","54","sceptre, default"
"of Progression","Unknown","[Allies|Allies] in your [Presence|Presence] have +(15-16)% to all [ElementalDamage|Elemental] [Resistances|Resistances]","suffix","68","sceptre, default"
"of Metamorphosis","Unknown","Various","suffix","Various","Various"
"of the Lost","Unknown","Various","suffix","Various","Various"
"of Banishment","Unknown","Various","suffix","Various","Various"
"of Eviction","Unknown","Various","suffix","Various","Various"
"of Expulsion","Unknown","Various","suffix","Various","Various"
"of Exile","Unknown","Various","suffix","Various","Various"
"of Bameth","Unknown","Various","suffix","Various","Various"
"Hale","Unknown","Various","prefix","Various","Various"
"Healthy","Unknown","Various","prefix","Various","Various"
"Sanguine","Unknown","Various","prefix","Various","Various"
"Stalwart","Unknown","Various","prefix","Various","Various"
"Stout","Unknown","Various","prefix","Various","Various"
"Robust","Unknown","Various","prefix","Various","Various"
"Rotund","Unknown","Various","prefix","Various","Various"
"Virile","Unknown","Various","prefix","Various","Various"
"Athlete's","Unknown","Various","prefix","Various","Various"
"Fecund","Unknown","Various","prefix","Various","Various"
"Vigorous","Unknown","Various","prefix","Various","Various"
"Rapturous","Unknown","Various","prefix","Various","Various"
"Prime","Unknown","Various","prefix","Various","Various"
"Hopeful","Unknown","(3-4)% increased maximum Life","prefix","33","amulet, default"
"Optimistic","Unknown","(5-6)% increased maximum Life","prefix","60","amulet, default"
"Confident","Unknown","(7-8)% increased maximum Life","prefix","75","amulet, default"
"Beryl","Unknown","Various","prefix","Various","Various"
"Cobalt","Unknown","Various","prefix","Various","Various"
"Azure","Unknown","Various","prefix","Various","Various"
"Teal","Unknown","Various","prefix","Various","Various"
"Cerulean","Unknown","Various","prefix","Various","Various"
"Aqua","Unknown","Various","prefix","Various","Various"
"Opalescent","Unknown","Various","prefix","Various","Various"
"Gentian","Unknown","Various","prefix","Various","Various"
"Chalybeous","Unknown","Various","prefix","Various","Various"
"Mazarine","Unknown","Various","prefix","Various","Various"
"Blue","Unknown","Various","prefix","Various","Various"
"Zaffre","Unknown","Various","prefix","Various","Various"
"Ultramarine","Unknown","+(180-189) to maximum Mana","prefix","82","amulet, default"
"Sapphire","Unknown","+(69-108) to maximum Mana","prefix","25","staff, default"
"Cognizant","Unknown","(3-4)% increased maximum Mana","prefix","33","amulet, default"
"Perceptive","Unknown","(5-6)% increased maximum Mana","prefix","60","amulet, default"
"Mnemonic","Unknown","(7-8)% increased maximum Mana","prefix","75","amulet, default"
"Lacquered","Unknown","Various","prefix","Various","Various"
"Studded","Unknown","Various","prefix","Various","Various"
"Ribbed","Unknown","Various","prefix","Various","Various"
"Fortified","Unknown","Various","prefix","Various","Various"
"Plated","Unknown","Various","prefix","Various","Various"
"Carapaced","Unknown","Various","prefix","Various","Various"
"Encased","Unknown","Various","prefix","Various","Various"
"Enveloped","Unknown","Various","prefix","Various","Various"
"Abating","Unknown","Various","prefix","Various","Various"
"Unmoving","Unknown","Various","prefix","Various","Various"
"Agile","Unknown","Various","prefix","Various","Various"
"Dancer's","Unknown","Various","prefix","Various","Various"
"Acrobat's","Unknown","Various","prefix","Various","Various"
"Fleet","Unknown","Various","prefix","Various","Various"
"Blurred","Unknown","Various","prefix","Various","Various"
"Phased","Unknown","Various","prefix","Various","Various"
"Vaporous","Unknown","Various","prefix","Various","Various"
"Elusory","Unknown","Various","prefix","Various","Various"
"Adroit","Unknown","Various","prefix","Various","Various"
"Shining","Unknown","Various","prefix","Various","Various"
"Glimmering","Unknown","Various","prefix","Various","Various"
"Glittering","Unknown","Various","prefix","Various","Various"
"Glowing","Unknown","Various","prefix","Various","Various"
"Radiating","Unknown","Various","prefix","Various","Various"
"Pulsing","Unknown","Various","prefix","Various","Various"
"Blazing","Unknown","Various","prefix","Various","Various"
"Dazzling","Unknown","Various","prefix","Various","Various"
"Scintillating","Unknown","Various","prefix","Various","Various"
"Incandescent","Unknown","Various","prefix","Various","Various"
"Reinforced","Unknown","Various","prefix","Various","Various"
"Layered","Unknown","Various","prefix","Various","Various"
"Lobstered","Unknown","Various","prefix","Various","Various"
"Buttressed","Unknown","Various","prefix","Various","Various"
"Thickened","Unknown","Various","prefix","Various","Various"
"Girded","Unknown","Various","prefix","Various","Various"
"Impregnable","Unknown","Various","prefix","Various","Various"
"Shade's","Unknown","Various","prefix","Various","Various"
"Ghost's","Unknown","Various","prefix","Various","Various"
"Spectre's","Unknown","Various","prefix","Various","Various"
"Wraith's","Unknown","Various","prefix","Various","Various"
"Phantasm's","Unknown","Various","prefix","Various","Various"
"Nightmare's","Unknown","Various","prefix","Various","Various"
"Mirage's","Unknown","Various","prefix","Various","Various"
"Protective","Unknown","Various","prefix","Various","Various"
"Strong-Willed","Unknown","Various","prefix","Various","Various"
"Resolute","Unknown","Various","prefix","Various","Various"
"Fearless","Unknown","Various","prefix","Various","Various"
"Dauntless","Unknown","Various","prefix","Various","Various"
"Indomitable","Unknown","Various","prefix","Various","Various"
"Unassailable","Unknown","Various","prefix","Various","Various"
"Impervious","Unknown","Various","prefix","Various","Various"
"Lissome","Unknown","+(235-261) to [Evasion] Rating","prefix","75","helmet, gloves, boots, dex_armour, str_dex_int_armour, default"
"Fugitive","Unknown","+(262-300) to [Evasion] Rating","prefix","79","shield, helmet, gloves, boots, dex_armour, str_dex_int_armour, default"
"Resplendent","Unknown","+(91-96) to maximum [EnergyShield|Energy Shield]","prefix","79","focus, shield, helmet, gloves, boots, int_armour, str_dex_int_armour, default"
"Supple","Unknown","Various","prefix","Various","Various"
"Pliant","Unknown","Various","prefix","Various","Various"
"Flexible","Unknown","Various","prefix","Various","Various"
"Durable","Unknown","Various","prefix","Various","Various"
"Sturdy","Unknown","+(86-102) to [Armour|Armour]<br>+(79-94) to [Evasion] Rating","prefix","54","boots, gloves, str_dex_armour, str_dex_int_armour, default"
"Resilient","Unknown","Various","prefix","Various","Various"
"Adaptable","Unknown","+(128-149) to [Armour|Armour]<br>+(120-141) to [Evasion] Rating","prefix","65","boots, gloves, helmet, str_dex_armour, str_dex_int_armour, default"
"Versatile","Unknown","+(150-170) to [Armour|Armour]<br>+(142-161) to [Evasion] Rating","prefix","75","shield, boots, gloves, helmet, str_dex_armour, str_dex_int_armour, default"
"Blessed","Unknown","Various","prefix","Various","Various"
"Anointed","Unknown","Various","prefix","Various","Various"
"Sanctified","Unknown","Various","prefix","Various","Various"
"Hallowed","Unknown","Various","prefix","Various","Various"
"Beatified","Unknown","+(86-102) to [Armour|Armour]<br>+(26-29) to maximum [EnergyShield|Energy Shield]","prefix","54","boots, gloves, str_int_armour, str_dex_int_armour, default"
"Consecrated","Unknown","+(103-127) to [Armour|Armour]<br>+(30-36) to maximum [EnergyShield|Energy Shield]","prefix","60","boots, gloves, helmet, str_int_armour, str_dex_int_armour, default"
"Saintly","Unknown","+(128-149) to [Armour|Armour]<br>+(37-42) to maximum [EnergyShield|Energy Shield]","prefix","65","boots, gloves, helmet, str_int_armour, str_dex_int_armour, default"
"Godly","Unknown","+(150-170) to [Armour|Armour]<br>+(43-48) to maximum [EnergyShield|Energy Shield]","prefix","75","shield, boots, gloves, helmet, str_int_armour, str_dex_int_armour, default"
"Will-o-wisp's","Unknown","Various","prefix","Various","Various"
"Nymph's","Unknown","Various","prefix","Various","Various"
"Sylph's","Unknown","Various","prefix","Various","Various"
"Cherub's","Unknown","Various","prefix","Various","Various"
"Spirit's","Unknown","+(79-94) to [Evasion] Rating<br>+(26-29) to maximum [EnergyShield|Energy Shield]","prefix","54","boots, gloves, dex_int_armour, str_dex_int_armour, default"
"Eidolon's","Unknown","+(95-119) to [Evasion] Rating<br>+(30-36) to maximum [EnergyShield|Energy Shield]","prefix","60","boots, gloves, helmet, dex_int_armour, str_dex_int_armour, default"
"Apparition's","Unknown","+(120-141) to [Evasion] Rating<br>+(37-42) to maximum [EnergyShield|Energy Shield]","prefix","65","boots, gloves, helmet, dex_int_armour, str_dex_int_armour, default"
"Banshee's","Unknown","+(142-161) to [Evasion] Rating<br>+(43-48) to maximum [EnergyShield|Energy Shield]","prefix","75","shield, boots, gloves, helmet, dex_int_armour, str_dex_int_armour, default"
"Impenetrable","Unknown","Various","prefix","Various","Various"
"Illusion's","Unknown","(101-110)% increased [Evasion|Evasion] Rating","prefix","75","int_armour, str_dex_armour, str_int_armour, str_armour, dex_int_armour, str_dex_int_armour, body_armour, shield, default"
"Unfaltering","Unknown","(101-110)% increased [EnergyShield|Energy Shield]","prefix","75","str_armour, str_dex_armour, str_int_armour, dex_armour, dex_int_armour, str_dex_int_armour, body_armour, shield, default"
"Scrapper's","Unknown","Various","prefix","Various","Various"
"Brawler's","Unknown","Various","prefix","Various","Various"
"Fencer's","Unknown","Various","prefix","Various","Various"
"Gladiator's","Unknown","Various","prefix","Various","Various"
"Duelist's","Unknown","Various","prefix","Various","Various"
"Hero's","Unknown","Various","prefix","Various","Various"
"Legend's","Unknown","Various","prefix","Various","Various"
"Victor's","Unknown","(101-110)% increased [Armour|Armour] and [Evasion|Evasion]","prefix","75","int_armour, str_int_armour, dex_armour, str_armour, dex_int_armour, str_dex_int_armour, body_armour, shield, default"
"Infixed","Unknown","Various","prefix","Various","Various"
"Ingrained","Unknown","Various","prefix","Various","Various"
"Instilled","Unknown","Various","prefix","Various","Various"
"Infused","Unknown","Various","prefix","Various","Various"
"Inculcated","Unknown","Various","prefix","Various","Various"
"Interpolated","Unknown","Various","prefix","Various","Various"
"Inspired","Unknown","Various","prefix","Various","Various"
"Interpermeated","Unknown","(101-110)% increased [Armour|Armour] and [EnergyShield|Energy Shield]","prefix","75","int_armour, str_dex_armour, dex_armour, str_armour, dex_int_armour, str_dex_int_armour, body_armour, shield, default"
"Shadowy","Unknown","Various","prefix","Various","Various"
"Ethereal","Unknown","Various","prefix","Various","Various"
"Unworldly","Unknown","Various","prefix","Various","Various"
"Ephemeral","Unknown","Various","prefix","Various","Various"
"Evanescent","Unknown","Various","prefix","Various","Various"
"Unreal","Unknown","Various","prefix","Various","Various"
"Illusory","Unknown","Various","prefix","Various","Various"
"Incorporeal","Unknown","Various","prefix","Various","Various"
"Beetle's","Unknown","(6-13)% increased [Armour|Armour]<br>+(8-13) to [StunThreshold|Stun Threshold]","prefix","10","body_armour, helmet, gloves, str_armour, default"
"Crab's","Unknown","(14-20)% increased [Armour|Armour]<br>+(14-24) to [StunThreshold|Stun Threshold]","prefix","19","body_armour, helmet, gloves, str_armour, default"
"Armadillo's","Unknown","(21-26)% increased [Armour|Armour]<br>+(25-40) to [StunThreshold|Stun Threshold]","prefix","38","body_armour, helmet, gloves, str_armour, default"
"Rhino's","Unknown","(27-32)% increased [Armour|Armour]<br>+(41-63) to [StunThreshold|Stun Threshold]","prefix","48","body_armour, helmet, gloves, str_armour, default"
"Elephant's","Unknown","(33-38)% increased [Armour|Armour]<br>+(64-94) to [StunThreshold|Stun Threshold]","prefix","63","body_armour, helmet, gloves, str_armour, default"
"Mammoth's","Unknown","(39-42)% increased [Armour|Armour]<br>+(95-136) to [StunThreshold|Stun Threshold]","prefix","74","body_armour, helmet, gloves, str_armour, default"
"Mosquito's","Unknown","(6-13)% increased [Evasion|Evasion] Rating<br>+(8-13) to [StunThreshold|Stun Threshold]","prefix","10","body_armour, helmet, gloves, dex_armour, default"
"Moth's","Unknown","(14-20)% increased [Evasion|Evasion] Rating<br>+(14-24) to [StunThreshold|Stun Threshold]","prefix","19","body_armour, helmet, gloves, dex_armour, default"
"Butterfly's","Unknown","(21-26)% increased [Evasion|Evasion] Rating<br>+(25-40) to [StunThreshold|Stun Threshold]","prefix","38","body_armour, helmet, gloves, dex_armour, default"
"Wasp's","Unknown","(27-32)% increased [Evasion|Evasion] Rating<br>+(41-63) to [StunThreshold|Stun Threshold]","prefix","48","body_armour, helmet, gloves, dex_armour, default"
"Dragonfly's","Unknown","(33-38)% increased [Evasion|Evasion] Rating<br>+(64-94) to [StunThreshold|Stun Threshold]","prefix","63","body_armour, helmet, gloves, dex_armour, default"
"Hummingbird's","Unknown","(39-42)% increased [Evasion|Evasion] Rating<br>+(95-136) to [StunThreshold|Stun Threshold]","prefix","74","body_armour, helmet, gloves, dex_armour, default"
"Pixie's","Unknown","(6-13)% increased [EnergyShield|Energy Shield]<br>+(8-13) to [StunThreshold|Stun Threshold]","prefix","10","body_armour, helmet, gloves, focus, int_armour, default"
"Gremlin's","Unknown","(14-20)% increased [EnergyShield|Energy Shield]<br>+(14-24) to [StunThreshold|Stun Threshold]","prefix","19","body_armour, helmet, gloves, focus, int_armour, default"
"Boggart's","Unknown","(21-26)% increased [EnergyShield|Energy Shield]<br>+(25-40) to [StunThreshold|Stun Threshold]","prefix","38","body_armour, helmet, gloves, focus, int_armour, default"
"Naga's","Unknown","(27-32)% increased [EnergyShield|Energy Shield]<br>+(41-63) to [StunThreshold|Stun Threshold]","prefix","48","body_armour, helmet, gloves, focus, int_armour, default"
"Djinn's","Unknown","Various","prefix","Various","Various"
"Seraphim's","Unknown","(39-42)% increased [EnergyShield|Energy Shield]<br>+(95-136) to [StunThreshold|Stun Threshold]","prefix","74","body_armour, helmet, gloves, focus, int_armour, default"
"Captain's","Unknown","(6-13)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(8-13) to [StunThreshold|Stun Threshold]","prefix","10","body_armour, helmet, gloves, str_dex_armour, default"
"Commander's","Unknown","(14-20)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(14-24) to [StunThreshold|Stun Threshold]","prefix","19","body_armour, helmet, gloves, str_dex_armour, default"
"Magnate's","Unknown","(21-26)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(25-40) to [StunThreshold|Stun Threshold]","prefix","38","body_armour, helmet, gloves, str_dex_armour, default"
"Marshal's","Unknown","(27-32)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(41-63) to [StunThreshold|Stun Threshold]","prefix","48","body_armour, helmet, gloves, str_dex_armour, default"
"General's","Unknown","(33-38)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(64-94) to [StunThreshold|Stun Threshold]","prefix","63","body_armour, helmet, gloves, str_dex_armour, default"
"Warlord's","Unknown","(39-42)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(95-136) to [StunThreshold|Stun Threshold]","prefix","74","body_armour, helmet, gloves, str_dex_armour, default"
"Defender's","Unknown","(6-13)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(8-13) to [StunThreshold|Stun Threshold]","prefix","10","body_armour, helmet, gloves, str_int_armour, default"
"Protector's","Unknown","(14-20)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(14-24) to [StunThreshold|Stun Threshold]","prefix","19","body_armour, helmet, gloves, str_int_armour, default"
"Keeper's","Unknown","(21-26)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(25-40) to [StunThreshold|Stun Threshold]","prefix","38","body_armour, helmet, gloves, str_int_armour, default"
"Guardian's","Unknown","(27-32)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(41-63) to [StunThreshold|Stun Threshold]","prefix","48","body_armour, helmet, gloves, str_int_armour, default"
"Warden's","Unknown","(33-38)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(64-94) to [StunThreshold|Stun Threshold]","prefix","63","body_armour, helmet, gloves, str_int_armour, default"
"Sentinel's","Unknown","(39-42)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(95-136) to [StunThreshold|Stun Threshold]","prefix","74","body_armour, helmet, gloves, str_int_armour, default"
"Intuitive","Unknown","(6-13)% increased [Evasion] and [EnergyShield|Energy Shield]<br>+(8-13) to [StunThreshold|Stun Threshold]","prefix","10","body_armour, helmet, gloves, dex_int_armour, default"
"Psychic","Unknown","(14-20)% increased [Evasion] and [EnergyShield|Energy Shield]<br>+(14-24) to [StunThreshold|Stun Threshold]","prefix","19","body_armour, helmet, gloves, dex_int_armour, default"
"Telepath's","Unknown","(21-26)% increased [Evasion] and [EnergyShield|Energy Shield]<br>+(25-40) to [StunThreshold|Stun Threshold]","prefix","38","body_armour, helmet, gloves, dex_int_armour, default"
"Illusionist's","Unknown","Various","prefix","Various","Various"
"Mentalist's","Unknown","(33-38)% increased [Evasion] and [EnergyShield|Energy Shield]<br>+(64-94) to [StunThreshold|Stun Threshold]","prefix","63","body_armour, helmet, gloves, dex_int_armour, default"
"Trickster's","Unknown","(39-42)% increased [Evasion] and [EnergyShield|Energy Shield]<br>+(95-136) to [StunThreshold|Stun Threshold]","prefix","74","body_armour, helmet, gloves, dex_int_armour, default"
"Oyster's","Unknown","Various","prefix","Various","Various"
"Lobster's","Unknown","Various","prefix","Various","Various"
"Urchin's","Unknown","Various","prefix","Various","Various"
"Nautilus'","Unknown","Various","prefix","Various","Various"
"Octopus'","Unknown","Various","prefix","Various","Various"
"Crocodile's","Unknown","Various","prefix","Various","Various"
"Flea's","Unknown","Various","prefix","Various","Various"
"Fawn's","Unknown","Various","prefix","Various","Various"
"Mouflon's","Unknown","Various","prefix","Various","Various"
"Ram's","Unknown","Various","prefix","Various","Various"
"Ibex's","Unknown","Various","prefix","Various","Various"
"Stag's","Unknown","Various","prefix","Various","Various"
"Monk's","Unknown","Various","prefix","Various","Various"
"Prior's","Unknown","Various","prefix","Various","Various"
"Abbot's","Unknown","Various","prefix","Various","Various"
"Bishop's","Unknown","Various","prefix","Various","Various"
"Exarch's","Unknown","Various","prefix","Various","Various"
"Pope's","Unknown","Various","prefix","Various","Various"
"Bully's","Unknown","Various","prefix","Various","Various"
"Thug's","Unknown","Various","prefix","Various","Various"
"Brute's","Unknown","Various","prefix","Various","Various"
"Assailant's","Unknown","Various","prefix","Various","Various"
"Aggressor's","Unknown","Various","prefix","Various","Various"
"Predator's","Unknown","Various","prefix","Various","Various"
"Augur's","Unknown","Various","prefix","Various","Various"
"Auspex's","Unknown","Various","prefix","Various","Various"
"Druid's","Unknown","Various","prefix","Various","Various"
"Haruspex's","Unknown","Various","prefix","Various","Various"
"Visionary's","Unknown","Various","prefix","Various","Various"
"Prophet's","Unknown","Various","prefix","Various","Various"
"Poet's","Unknown","Various","prefix","Various","Various"
"Musician's","Unknown","Various","prefix","Various","Various"
"Troubadour's","Unknown","Various","prefix","Various","Various"
"Bard's","Unknown","Various","prefix","Various","Various"
"Minstrel's","Unknown","Various","prefix","Various","Various"
"Maestro's","Unknown","Various","prefix","Various","Various"
"Imposing","Unknown","(6-13)% increased [Armour|Armour]<br>+(6-8) to maximum Mana","prefix","8","body_armour, shield, gloves, boots, str_armour, default"
"Venerable","Unknown","Various","prefix","Various","Various"
"Regal","Unknown","Various","prefix","Various","Various"
"Colossal","Unknown","(27-32)% increased [Armour|Armour]<br>+(21-26) to maximum Mana","prefix","46","body_armour, shield, gloves, boots, str_armour, default"
"Chieftain's","Unknown","(33-38)% increased [Armour|Armour]<br>+(27-32) to maximum Mana","prefix","60","body_armour, shield, gloves, boots, str_armour, default"
"Ancestral","Unknown","(39-42)% increased [Armour|Armour]<br>+(33-39) to maximum Mana","prefix","78","body_armour, shield, gloves, boots, str_armour, default"
"Nomad's","Unknown","(6-13)% increased [Evasion|Evasion] Rating<br>+(6-8) to maximum Mana","prefix","8","body_armour, shield, gloves, boots, dex_armour, default"
"Drifter's","Unknown","(14-20)% increased [Evasion|Evasion] Rating<br>+(9-16) to maximum Mana","prefix","16","body_armour, shield, gloves, boots, dex_armour, default"
"Traveller's","Unknown","(21-26)% increased [Evasion|Evasion] Rating<br>+(17-20) to maximum Mana","prefix","33","body_armour, shield, gloves, boots, dex_armour, default"
"Explorer's","Unknown","(27-32)% increased [Evasion|Evasion] Rating<br>+(21-26) to maximum Mana","prefix","46","body_armour, shield, gloves, boots, dex_armour, default"
"Wayfarer's","Unknown","(33-38)% increased [Evasion|Evasion] Rating<br>+(27-32) to maximum Mana","prefix","60","body_armour, shield, gloves, boots, dex_armour, default"
"Wanderer's","Unknown","(39-42)% increased [Evasion|Evasion] Rating<br>+(33-39) to maximum Mana","prefix","78","body_armour, shield, gloves, boots, dex_armour, default"
"Imbued","Unknown","(6-13)% increased [EnergyShield|Energy Shield]<br>+(6-8) to maximum Mana","prefix","8","body_armour, shield, gloves, boots, int_armour, default"
"Serene","Unknown","Various","prefix","Various","Various"
"Sacred","Unknown","(21-26)% increased [EnergyShield|Energy Shield]<br>+(17-20) to maximum Mana","prefix","33","body_armour, shield, gloves, boots, int_armour, default"
"Celestial","Unknown","(27-32)% increased [EnergyShield|Energy Shield]<br>+(21-26) to maximum Mana","prefix","46","body_armour, shield, gloves, boots, int_armour, default"
"Heavenly","Unknown","(33-38)% increased [EnergyShield|Energy Shield]<br>+(27-32) to maximum Mana","prefix","60","body_armour, shield, gloves, boots, int_armour, default"
"Angel's","Unknown","(39-42)% increased [EnergyShield|Energy Shield]<br>+(33-39) to maximum Mana","prefix","78","body_armour, shield, gloves, boots, int_armour, default"
"Rhoa's","Unknown","(6-13)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(6-8) to maximum Mana","prefix","8","body_armour, shield, gloves, boots, str_dex_armour, default"
"Rhex's","Unknown","(14-20)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(9-16) to maximum Mana","prefix","16","body_armour, shield, gloves, boots, str_dex_armour, default"
"Chimeral's","Unknown","(21-26)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(17-20) to maximum Mana","prefix","33","body_armour, shield, gloves, boots, str_dex_armour, default"
"Bull's","Unknown","(27-32)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(21-26) to maximum Mana","prefix","46","body_armour, shield, gloves, boots, str_dex_armour, default"
"Minotaur's","Unknown","(33-38)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(27-32) to maximum Mana","prefix","60","body_armour, shield, gloves, boots, str_dex_armour, default"
"Cerberus'","Unknown","(39-42)% increased [Armour|Armour] and [Evasion|Evasion]<br>+(33-39) to maximum Mana","prefix","78","body_armour, shield, gloves, boots, str_dex_armour, default"
"Coelacanth's","Unknown","(6-13)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(6-8) to maximum Mana","prefix","8","body_armour, shield, gloves, boots, str_int_armour, default"
"Swordfish's","Unknown","(14-20)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(9-16) to maximum Mana","prefix","16","body_armour, shield, gloves, boots, str_int_armour, default"
"Shark's","Unknown","(21-26)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(17-20) to maximum Mana","prefix","33","body_armour, shield, gloves, boots, str_int_armour, default"
"Dolphin's","Unknown","(27-32)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(21-26) to maximum Mana","prefix","46","body_armour, shield, gloves, boots, str_int_armour, default"
"Orca's","Unknown","(33-38)% increased [Armour|Armour] and [EnergyShield|Energy Shield]<br>+(27-32) to maximum Mana","prefix","60","body_armour, shield, gloves, boots, str_int_armour, default"
